parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.858,27.872300000000003,127.08659999999999,603.7542,759.5711
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8122,26.7942,124.6444,662.0016,814.2524000000001
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8123,26.922900000000002,125.16329999999999,645.9257,798.8242
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
1.0061,26.6301,125.6468,636.5998,789.8828
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.886,28.0368,125.04339999999999,637.8763,791.8425
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8147,27.0273,129.5276,647.3446,804.7142
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8335,27.0972,126.9935,649.6454,804.5696
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8492,26.635600000000004,126.4099,665.8629,819.7575999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.937,28.599,129.926,639.5597,799.0217
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.9022,26.236399999999996,128.48389999999998,637.7466,793.3690999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8533,27.5376,155.6614,646.1329,830.1851999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.931,26.84,127.79090000000001,651.6237,807.1856
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8181,28.1436,131.8303,625.6972,786.4892
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8452,27.5783,126.60660000000001,651.8177,806.8478
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
1.1442,26.8111,129.0283,740.8084,897.792
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8624,27.7941,126.93149999999999,660.9219,816.5099
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.824,28.3471,124.9575,619.7084,773.837
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8251,27.6537,128.1025,637.2127,793.7940000000001
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8348,27.4558,125.5649,637.3096,791.1651
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8361,27.3159,127.75540000000001,618.8832,774.7906
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8518,26.764400000000002,123.4998,636.1934,787.3094
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8484,27.8559,127.0548,618.0741,773.8332
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8375,26.855600000000003,127.8626,615.4788,771.0345
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
1.2937,27.3477,127.8602,668.3366,824.8381999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.808,26.5178,123.6874,678.1111,829.1243
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8559,27.4229,127.5593,675.4567,831.2947999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.9215,27.163700000000002,125.2063,685.4276,838.7191
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8407,27.9192,133.665,693.1003,855.5251999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.817,26.5643,126.27250000000001,706.1403,859.7941000000001
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8535,27.0215,124.82580000000002,650.3676,803.0684000000001
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.831,27.9612,123.73060000000001,676.7453,829.2681
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8072,26.666500000000003,125.0336,734.959,887.4662999999999
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.862,26.8404,125.09029999999998,696.8853,849.678
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8272,26.597,125.3518,686.0082,838.7842
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
0.8068,26.9237,126.6309,668.9712,823.3326
parsing_time,plugin_time,resolution_time,verification_time,dafny_time
